Designator,Mid X,Mid Y,Layer,Rotation
C1,24.64,43.56,Top,270.0
C2,134.62,74.93,Top,180.0
C3,116.84,74.93,Top,180.0
C7,149.86,49.53,Top,270.0
C8,127.00,49.53,Top,90.0
C9,104.14,49.53,Top,90.0
C10,81.28,49.53,Top,90.0
IC1,31.75,45.72,Top,180.0
IC2,41.91,29.21,Top,180.0
IC3,96.52,49.53,Top,180.0
IC4,119.38,49.53,Top,180.0
IC5,142.24,49.53,Top,180.0
IC6,73.66,49.53,Top,180.0
LED1,146.05,73.66,Top,270.0
R1,31.12,38.10,Top,90.0
R2,146.05,78.74,Top,90.0
RN1,106.68,40.64,Top,90.0
RN2,96.52,58.42,Top,180.0
RN3,129.54,40.64,Top,90.0
RN4,119.38,58.42,Top,180.0
RN5,152.40,40.64,Top,90.0
RN6,142.24,58.42,Top,180.0
RN7,83.82,40.64,Top,90.0
RN8,73.66,58.42,Top,180.0
